customer_id,tenure,monthly_charges,support_calls,churn
1,7,78,4,1
2,7,93,4,1
3,27,62,1,0
4,13,95,2,1
5,9,94,5,1
6,18,61,0,0
7,24,49,1,0
8,20,47,0,0
9,6,92,5,1
10,28,67,0,0
11,23,50,0,0
12,6,92,5,1
13,4,92,3,1
14,11,90,4,1
15,8,92,2,1
16,1,86,1,1
17,14,101,4,1
18,5,76,5,1
19,24,49,1,0
20,20,68,3,0
21,23,49,0,0
22,20,46,2,0
23,9,94,3,1
24,8,100,4,1
25,22,54,0,0
26,11,118,4,1
27,8,96,3,1
28,9,79,5,1
29,7,98,5,1
30,9,86,3,1
31,1,89,3,1
32,20,58,0,0
33,22,59,0,0
34,12,97,4,1
35,10,79,5,1
36,10,79,4,1
37,8,98,5,1
38,16,92,3,1
39,9,91,4,1
40,12,107,1,1
41,7,89,4,1
42,20,51,0,0
43,10,106,4,1
44,13,81,5,1
45,8,78,5,1
46,22,45,1,0
47,28,40,1,0
48,25,58,0,0
49,13,88,4,1
50,10,89,3,1
51,34,31,1,0
52,20,61,0,0
53,10,86,2,1
54,22,88,5,1
55,10,90,3,1
56,27,55,2,0
57,13,67,1,0
58,5,73,4,1
59,25,62,0,0
60,24,69,1,0
