uid,f1,f2,f3,label
1,119,1,0,7
2,42,7,1,18
3,72,3,1,14
4,60,5,1,21
5,102,1,0,8
6,92,1,0,10
7,113,2,0,9
8,80,1,0,12
9,91,0,0,7
10,122,3,0,11
11,75,5,1,16
12,54,6,1,16
13,63,5,1,18
14,119,1,0,13
15,109,2,0,10
16,105,1,0,9
17,54,7,1,20
18,99,2,0,7
19,80,1,0,13
20,61,6,1,15
21,83,6,1,16
22,90,6,1,16
23,116,2,0,10
24,84,4,1,14
25,84,1,0,10
26,109,2,0,12
27,63,5,1,17
28,44,6,1,14
29,104,1,0,9
30,110,1,0,11
31,93,2,0,11
32,108,3,0,11
33,102,1,0,10
34,113,1,0,9
35,76,5,1,17
36,84,1,0,10
37,97,6,1,15
38,101,2,0,10
39,110,1,0,9
40,98,0,0,11
41,104,3,0,11
42,101,2,0,9
43,57,5,1,18
44,98,2,0,12
45,78,1,0,9
46,82,3,0,8
47,59,7,1,15
48,78,6,1,14
49,81,2,0,10
50,53,5,1,17
51,62,5,1,16
52,75,5,1,14
53,84,1,0,12
54,89,2,0,8
55,77,1,0,8
56,68,4,1,16
57,109,2,0,7
58,112,2,0,10
59,88,6,1,17
60,64,6,1,14
61,102,2,0,12
62,92,0,0,10
63,83,1,0,10
64,67,4,1,14
65,95,1,0,9
66,109,2,0,9
67,87,3,0,11
68,64,6,1,18
69,110,1,0,10
70,64,6,1,17
71,80,5,1,17
72,43,4,1,14
73,118,2,0,13
74,60,5,1,14
75,78,5,1,13
76,74,8,1,15
77,78,6,1,17
78,84,5,1,19
79,114,2,0,9
80,99,2,0,13
